,symbol,metric,value
5725,PTC,Forward Dividend & Yield,--
5726,PTC,Ex-Dividend Date,--
5727,PTC,1y Target Est,203.22 
5728,PSA,Previous Close,273.82 
5729,PSA,Open,273.05 
5730,PSA,Bid,--
5731,PSA,Ask,--
5732,PSA,Day's Range,270.25 - 275.45 
5733,PSA,52 Week Range,233.18 - 312.25 
5734,PSA,Volume,"886,275 "
5735,PSA,Avg. Volume,"671,034 "
5736,PSA,Market Cap (intraday),48.152B 
5737,PSA,Beta (5Y Monthly),0.62
5738,PSA,PE Ratio (TTM),24.87 
5739,PSA,EPS (TTM),11.02 
5740,PSA,Earnings Date,--
5741,PSA,Forward Dividend & Yield,12.00 (4.38%)
5742,PSA,Ex-Dividend Date,"Jun 12, 2024"
5743,PSA,1y Target Est,310.33 
5744,PHM,Previous Close,113.40 
5745,PHM,Open,112.56 
5746,PHM,Bid,111.14 x 800
5747,PHM,Ask,111.24 x 1100
5748,PHM,Day's Range,110.63 - 112.93 
5749,PHM,52 Week Range,68.80 - 122.72 
5750,PHM,Volume,"403,333 "
5751,PHM,Avg. Volume,"1,724,633 "
5752,PHM,Market Cap (intraday),23.34B 
5753,PHM,Beta (5Y Monthly),1.60
5754,PHM,PE Ratio (TTM),8.90 
5755,PHM,EPS (TTM),12.47 
5756,PHM,Earnings Date,"Jul 23, 2024"
5757,PHM,Forward Dividend & Yield,0.80 (0.71%)
5758,PHM,Ex-Dividend Date,"Jun 18, 2024"
5759,PHM,1y Target Est,132.30 
5760,QRVO,Previous Close,99.49 
5761,QRVO,Open,98.85 
5762,QRVO,Bid,102.29 x 500
5763,QRVO,Ask,102.52 x 500
5764,QRVO,Day's Range,98.85 - 103.50 
5765,QRVO,52 Week Range,80.62 - 121.65 
5766,QRVO,Volume,"1,530,860 "
5767,QRVO,Avg. Volume,"1,259,084 "
5768,QRVO,Market Cap (intraday),9.794B 
5769,QRVO,Beta (5Y Monthly),1.44
5770,QRVO,PE Ratio (TTM),-- 
5771,QRVO,EPS (TTM),-0.72 
5772,QRVO,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
5773,QRVO,Forward Dividend & Yield,--
5774,QRVO,Ex-Dividend Date,--
5775,QRVO,1y Target Est,110.25 
5776,PWR,Previous Close,269.32 
5777,PWR,Open,269.00 
5778,PWR,Bid,--
5779,PWR,Ask,--
5780,PWR,Day's Range,267.00 - 272.30 
5781,PWR,52 Week Range,153.74 - 286.87 
5782,PWR,Volume,"561,256 "
5783,PWR,Avg. Volume,"900,733 "
5784,PWR,Market Cap (intraday),39.755B 
5785,PWR,Beta (5Y Monthly),1.05
5786,PWR,PE Ratio (TTM),52.63 
5787,PWR,EPS (TTM),5.16 
5788,PWR,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
5789,PWR,Forward Dividend & Yield,0.36 (0.13%)
5790,PWR,Ex-Dividend Date,"Jul 1, 2024"
5791,PWR,1y Target Est,285.05 
5792,QCOM,Previous Close,209.35 
5793,QCOM,Open,207.27 
5794,QCOM,Bid,207.53 x 100
5795,QCOM,Ask,207.82 x 100
5796,QCOM,Day's Range,204.79 - 208.24 
5797,QCOM,52 Week Range,104.33 - 217.43 
5798,QCOM,Volume,"2,348,758 "
5799,QCOM,Avg. Volume,"8,488,807 "
5800,QCOM,Market Cap (intraday),231.765B 
5801,QCOM,Beta (5Y Monthly),1.30
5802,QCOM,PE Ratio (TTM),27.69 
5803,QCOM,EPS (TTM),7.50 
5804,QCOM,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
5805,QCOM,Forward Dividend & Yield,3.40 (1.62%)
5806,QCOM,Ex-Dividend Date,"May 30, 2024"
5807,QCOM,1y Target Est,178.32 
5808,RL,Previous Close,181.77 
5809,RL,Open,180.62 
5810,RL,Bid,186.00 x 1000
5811,RL,Ask,192.00 x 800
5812,RL,Day's Range,180.51 - 189.41 
5813,RL,52 Week Range,108.60 - 192.03 
5814,RL,Volume,"966,491 "
5815,RL,Avg. Volume,"963,785 "
5816,RL,Market Cap (intraday),11.772B 
5817,RL,Beta (5Y Monthly),1.54
5818,RL,PE Ratio (TTM),19.39 
5819,RL,EPS (TTM),9.71 
5820,RL,Earnings Date,"Aug 8, 2024 - Aug 12, 2024"
5821,RL,Forward Dividend & Yield,3.30 (1.82%)
5822,RL,Ex-Dividend Date,"Jun 28, 2024"
5823,RL,1y Target Est,192.87 
5824,RJF,Previous Close,120.03 
5825,RJF,Open,119.38 
5826,RJF,Bid,--
5827,RJF,Ask,--
5828,RJF,Day's Range,118.26 - 120.47 
5829,RJF,52 Week Range,91.67 - 131.19 
5830,RJF,Volume,"531,123 "
5831,RJF,Avg. Volume,"976,144 "
5832,RJF,Market Cap (intraday),24.78B 
5833,RJF,Beta (5Y Monthly),1.02
5834,RJF,PE Ratio (TTM),14.44 
5835,RJF,EPS (TTM),8.28 
5836,RJF,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
5837,RJF,Forward Dividend & Yield,1.80 (1.51%)
5838,RJF,Ex-Dividend Date,"Jul 1, 2024"
5839,RJF,1y Target Est,132.50 
5840,RTX,Previous Close,107.09 
5841,RTX,Open,106.39 
5842,RTX,Bid,107.05 x 900
5843,RTX,Ask,107.06 x 1100
5844,RTX,Day's Range,106.14 - 107.14 
5845,RTX,52 Week Range,68.56 - 108.65 
5846,RTX,Volume,"861,694 "
5847,RTX,Avg. Volume,"7,582,355 "
5848,RTX,Market Cap (intraday),142.284B 
5849,RTX,Beta (5Y Monthly),0.56
5850,RTX,PE Ratio (TTM),42.13 
5851,RTX,EPS (TTM),2.54 
5852,RTX,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
5853,RTX,Forward Dividend & Yield,2.52 (2.35%)
5854,RTX,Ex-Dividend Date,"Aug 16, 2024"
5855,RTX,1y Target Est,96.70 
5856,O,Previous Close,53.32 
5857,O,Open,53.08 
5858,O,Bid,52.60 x 1200
5859,O,Ask,--
5860,O,Day's Range,52.38 - 53.21 
5861,O,52 Week Range,45.04 - 64.18 
5862,O,Volume,"4,295,941 "
5863,O,Avg. Volume,"5,770,892 "
5864,O,Market Cap (intraday),45.898B 
5865,O,Beta (5Y Monthly),0.95
5866,O,PE Ratio (TTM),48.81 
5867,O,EPS (TTM),1.08 
5868,O,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
5869,O,Forward Dividend & Yield,3.08 (5.85%)
5870,O,Ex-Dividend Date,"Jun 3, 2024"
5871,O,1y Target Est,59.96 
5872,REGN,Previous Close,"1,001.73 "
5873,REGN,Open,998.08 
5874,REGN,Bid,924.63 x 200
5875,REGN,Ask,"1,089.47 x 200"
5876,REGN,Day's Range,"997.84 - 1,006.89 "
5877,REGN,52 Week Range,"684.81 - 1,016.00 "
5878,REGN,Volume,"43,674 "
5879,REGN,Avg. Volume,"438,841 "
5880,REGN,Market Cap (intraday),110.574B 
5881,REGN,Beta (5Y Monthly),0.12
5882,REGN,PE Ratio (TTM),29.61 
5883,REGN,EPS (TTM),33.89 
5884,REGN,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
5885,REGN,Forward Dividend & Yield,--
5886,REGN,Ex-Dividend Date,--
5887,REGN,1y Target Est,"1,061.30 "
5888,RF,Previous Close,18.19 
5889,RF,Open,17.98 
5890,RF,Bid,17.95 x 2200
5891,RF,Ask,17.97 x 1800
5892,RF,Day's Range,17.72 - 17.98 
5893,RF,52 Week Range,13.72 - 21.08 
5894,RF,Volume,"2,787,920 "
5895,RF,Avg. Volume,"7,313,085 "
5896,RF,Market Cap (intraday),16.453B 
5897,RF,Beta (5Y Monthly),1.20
5898,RF,PE Ratio (TTM),9.71 
5899,RF,EPS (TTM),1.85 
5900,RF,Earnings Date,"Jul 19, 2024"
5901,RF,Forward Dividend & Yield,0.96 (5.28%)
5902,RF,Ex-Dividend Date,"Jun 3, 2024"
5903,RF,1y Target Est,21.46 
5904,RMD,Previous Close,211.66 
5905,RMD,Open,209.58 
5906,RMD,Bid,210.72 x 800
5907,RMD,Ask,210.91 x 800
5908,RMD,Day's Range,207.05 - 211.02 
5909,RMD,52 Week Range,132.24 - 229.97 
5910,RMD,Volume,"125,223 "
5911,RMD,Avg. Volume,"1,067,466 "
5912,RMD,Market Cap (intraday),30.986B 
5913,RMD,Beta (5Y Monthly),0.69
5914,RMD,PE Ratio (TTM),32.45 
5915,RMD,EPS (TTM),6.50 
5916,RMD,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
5917,RMD,Forward Dividend & Yield,1.92 (0.91%)
5918,RMD,Ex-Dividend Date,"May 8, 2024"
5919,RMD,1y Target Est,214.60 
5920,ROK,Previous Close,255.23 
5921,ROK,Open,253.78 
5922,ROK,Bid,252.58 x 900
5923,ROK,Ask,252.94 x 800
5924,ROK,Day's Range,251.31 - 253.78 
5925,ROK,52 Week Range,251.28 - 348.52 
5926,ROK,Volume,"102,461 "
5927,ROK,Avg. Volume,"924,382 "
5928,ROK,Market Cap (intraday),28.797B 
5929,ROK,Beta (5Y Monthly),1.37
5930,ROK,PE Ratio (TTM),24.74 
5931,ROK,EPS (TTM),10.21 
5932,ROK,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
5933,ROK,Forward Dividend & Yield,5.00 (1.96%)
5934,ROK,Ex-Dividend Date,"Aug 12, 2024"
5935,ROK,1y Target Est,286.08 
5936,ROP,Previous Close,526.58 
5937,ROP,Open,528.41 
5938,ROP,Bid,532.39 x 400
5939,ROP,Ask,533.07 x 100
5940,ROP,Day's Range,524.53 - 533.00 
5941,ROP,52 Week Range,447.95 - 565.00 
5942,ROP,Volume,"665,185 "
5943,ROP,Avg. Volume,"527,280 "
5944,ROP,Market Cap (intraday),57.029B 
5945,ROP,Beta (5Y Monthly),1.00
5946,ROP,PE Ratio (TTM),39.06 
5947,ROP,EPS (TTM),13.64 
5948,ROP,Earnings Date,"Jul 19, 2024 - Jul 23, 2024"
5949,ROP,Forward Dividend & Yield,3.00 (0.57%)
5950,ROP,Ex-Dividend Date,"Apr 4, 2024"
5951,ROP,1y Target Est,610.59 
5952,ROST,Previous Close,144.27 
5953,ROST,Open,144.25 
5954,ROST,Bid,144.69 x 300
5955,ROST,Ask,144.75 x 300
5956,ROST,Day's Range,144.04 - 145.25 
5957,ROST,52 Week Range,105.15 - 151.12 
5958,ROST,Volume,"2,352,534 "
5959,ROST,Avg. Volume,"2,523,646 "
5960,ROST,Market Cap (intraday),48.539B 
5961,ROST,Beta (5Y Monthly),1.08
5962,ROST,PE Ratio (TTM),24.37 
5963,ROST,EPS (TTM),5.94 
5964,ROST,Earnings Date,"Aug 15, 2024 - Aug 19, 2024"
5965,ROST,Forward Dividend & Yield,1.47 (1.02%)
5966,ROST,Ex-Dividend Date,"Jun 11, 2024"
5967,ROST,1y Target Est,163.76 
5968,RCL,Previous Close,154.55 
5969,RCL,Open,154.15 
5970,RCL,Bid,154.02 x 900
5971,RCL,Ask,154.70 x 1000
5972,RCL,Day's Range,153.63 - 155.89 
5973,RCL,52 Week Range,78.35 - 156.93 
5974,RCL,Volume,"958,070 "
5975,RCL,Avg. Volume,"2,544,358 "
5976,RCL,Market Cap (intraday),39.778B 
5977,RCL,Beta (5Y Monthly),2.57
5978,RCL,PE Ratio (TTM),19.69 
5979,RCL,EPS (TTM),7.85 
5980,RCL,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
5981,RCL,Forward Dividend & Yield,--
5982,RCL,Ex-Dividend Date,"Mar 5, 2020"
5983,RCL,1y Target Est,162.37 
5984,SPGI,Previous Close,430.00 
5985,SPGI,Open,429.91 
5986,SPGI,Bid,428.19 x 800
5987,SPGI,Ask,428.42 x 1000
5988,SPGI,Day's Range,427.19 - 429.80 
5989,SPGI,52 Week Range,340.49 - 461.16 
5990,SPGI,Volume,"270,199 "
5991,SPGI,Avg. Volume,"1,278,801 "
5992,SPGI,Market Cap (intraday),134.007B 
5993,SPGI,Beta (5Y Monthly),1.15
5994,SPGI,PE Ratio (TTM),48.12 
5995,SPGI,EPS (TTM),8.90 
5996,SPGI,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
5997,SPGI,Forward Dividend & Yield,3.64 (0.85%)
5998,SPGI,Ex-Dividend Date,"May 29, 2024"
5999,SPGI,1y Target Est,492.55 
6000,CRM,Previous Close,241.84 
6001,CRM,Open,241.16 
6002,CRM,Bid,243.30 x 1100
6003,CRM,Ask,243.44 x 1000
6004,CRM,Day's Range,236.26 - 243.75 
6005,CRM,52 Week Range,193.68 - 318.71 
6006,CRM,Volume,"2,807,285 "
6007,CRM,Avg. Volume,"7,138,019 "
6008,CRM,Market Cap (intraday),234.285B 
6009,CRM,Beta (5Y Monthly),1.25
6010,CRM,PE Ratio (TTM),43.49 
6011,CRM,EPS (TTM),5.56 
6012,CRM,Earnings Date,"Aug 28, 2024 - Sep 2, 2024"
6013,CRM,Forward Dividend & Yield,1.60 (0.66%)
6014,CRM,Ex-Dividend Date,"Mar 13, 2024"
6015,CRM,1y Target Est,276.44 
6016,SBAC,Previous Close,193.39 
6017,SBAC,Open,191.48 
6018,SBAC,Bid,192.88 x 200
6019,SBAC,Ask,193.38 x 100
6020,SBAC,Day's Range,191.07 - 194.32 
6021,SBAC,52 Week Range,183.64 - 258.76 
6022,SBAC,Volume,"957,021 "
6023,SBAC,Avg. Volume,"898,946 "
6024,SBAC,Market Cap (intraday),20.754B 
6025,SBAC,Beta (5Y Monthly),0.65
6026,SBAC,PE Ratio (TTM),37.87 
6027,SBAC,EPS (TTM),5.10 
6028,SBAC,Earnings Date,"Jul 29, 2024 - Aug 2, 2024"
6029,SBAC,Forward Dividend & Yield,3.92 (2.03%)
6030,SBAC,Ex-Dividend Date,"May 22, 2024"
6031,SBAC,1y Target Est,246.14 
6032,SLB,Previous Close,44.55 
6033,SLB,Open,44.55 
6034,SLB,Bid,44.61 x 1300
6035,SLB,Ask,44.92 x 1000
6036,SLB,Day's Range,43.94 - 45.30 
6037,SLB,52 Week Range,42.77 - 62.12 
6038,SLB,Volume,"12,449,734 "
6039,SLB,Avg. Volume,"10,184,019 "
6040,SLB,Market Cap (intraday),64.292B 
6041,SLB,Beta (5Y Monthly),1.58
6042,SLB,PE Ratio (TTM),14.99 
6043,SLB,EPS (TTM),3.00 
6044,SLB,Earnings Date,"Jul 19, 2024 - Jul 23, 2024"
6045,SLB,Forward Dividend & Yield,1.10 (2.45%)
6046,SLB,Ex-Dividend Date,"Jun 5, 2024"
6047,SLB,1y Target Est,66.41 
6048,STX,Previous Close,96.00 
6049,STX,Open,95.75 
6050,STX,Bid,96.02 x 1000
6051,STX,Ask,96.24 x 1300
6052,STX,Day's Range,95.08 - 97.14 
6053,STX,52 Week Range,57.32 - 101.26 
6054,STX,Volume,"1,716,097 "
6055,STX,Avg. Volume,"2,790,950 "
6056,STX,Market Cap (intraday),20.182B 
6057,STX,Beta (5Y Monthly),1.05
6058,STX,PE Ratio (TTM),-- 
6059,STX,EPS (TTM),-1.30 
6060,STX,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
6061,STX,Forward Dividend & Yield,2.80 (2.92%)
6062,STX,Ex-Dividend Date,"Jun 20, 2024"
6063,STX,1y Target Est,99.33 
6064,SRE,Previous Close,75.08 
6065,SRE,Open,74.65 
6066,SRE,Bid,75.66 x 800
6067,SRE,Ask,75.67 x 1200
6068,SRE,Day's Range,74.50 - 75.75 
6069,SRE,52 Week Range,63.75 - 78.83 
6070,SRE,Volume,"467,693 "
6071,SRE,Avg. Volume,"3,187,012 "
6072,SRE,Market Cap (intraday),47.9B 
6073,SRE,Beta (5Y Monthly),0.75
6074,SRE,PE Ratio (TTM),16.75 
6075,SRE,EPS (TTM),4.52 
6076,SRE,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
6077,SRE,Forward Dividend & Yield,2.48 (3.30%)
6078,SRE,Ex-Dividend Date,"Jun 27, 2024"
6079,SRE,1y Target Est,84.06 
6080,NOW,Previous Close,698.81 
6081,NOW,Open,697.32 
6082,NOW,Bid,703.63 x 800
6083,NOW,Ask,704.33 x 1100
6084,NOW,Day's Range,693.56 - 704.76 
6085,NOW,52 Week Range,527.24 - 815.32 
6086,NOW,Volume,"524,484 "
6087,NOW,Avg. Volume,"1,323,914 "
6088,NOW,Market Cap (intraday),144.391B 
6089,NOW,Beta (5Y Monthly),0.96
6090,NOW,PE Ratio (TTM),75.12 
6091,NOW,EPS (TTM),9.36 
6092,NOW,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
6093,NOW,Forward Dividend & Yield,--
6094,NOW,Ex-Dividend Date,--
6095,NOW,1y Target Est,860.88 
6096,SHW,Previous Close,293.11 
6097,SHW,Open,293.18 
6098,SHW,Bid,295.24 x 1100
6099,SHW,Ask,295.28 x 800
6100,SHW,Day's Range,291.77 - 295.42 
6101,SHW,52 Week Range,232.06 - 348.37 
6102,SHW,Volume,"235,946 "
6103,SHW,Avg. Volume,"1,617,314 "
6104,SHW,Market Cap (intraday),74.674B 
6105,SHW,Beta (5Y Monthly),1.17
6106,SHW,PE Ratio (TTM),31.40 
6107,SHW,EPS (TTM),9.38 
6108,SHW,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
6109,SHW,Forward Dividend & Yield,2.86 (0.98%)
6110,SHW,Ex-Dividend Date,"May 16, 2024"
6111,SHW,1y Target Est,344.17 
6112,SPG,Previous Close,152.04 
6113,SPG,Open,151.24 
6114,SPG,Bid,150.99 x 1200
6115,SPG,Ask,151.04 x 800
6116,SPG,Day's Range,150.64 - 151.38 
6117,SPG,52 Week Range,102.11 - 157.82 
6118,SPG,Volume,"414,943 "
6119,SPG,Avg. Volume,"1,389,331 "
6120,SPG,Market Cap (intraday),56.578B 
6121,SPG,Beta (5Y Monthly),1.74
6122,SPG,PE Ratio (TTM),19.23 
6123,SPG,EPS (TTM),7.85 
6124,SPG,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
6125,SPG,Forward Dividend & Yield,8.00 (5.26%)
6126,SPG,Ex-Dividend Date,"Jun 7, 2024"
6127,SPG,1y Target Est,160.00 
6128,SWKS,Previous Close,91.72 
6129,SWKS,Open,91.59 
6130,SWKS,Bid,90.78 x 500
6131,SWKS,Ask,90.85 x 500
6132,SWKS,Day's Range,90.49 - 91.80 
6133,SWKS,52 Week Range,85.06 - 115.69 
6134,SWKS,Volume,"1,304,145 "
6135,SWKS,Avg. Volume,"2,416,126 "
6136,SWKS,Market Cap (intraday),14.57B 
6137,SWKS,Beta (5Y Monthly),1.24
6138,SWKS,PE Ratio (TTM),17.10 
6139,SWKS,EPS (TTM),5.31 
6140,SWKS,Earnings Date,"Aug 5, 2024 - Aug 9, 2024"
6141,SWKS,Forward Dividend & Yield,2.72 (3.00%)
6142,SWKS,Ex-Dividend Date,"May 20, 2024"
6143,SWKS,1y Target Est,99.83 
6144,SJM,Previous Close,113.60 
6145,SJM,Open,113.07 
6146,SJM,Bid,112.20 x 800
6147,SJM,Ask,112.33 x 800
6148,SJM,Day's Range,111.42 - 113.23 
6149,SJM,52 Week Range,106.32 - 154.34 
6150,SJM,Volume,"196,636 "
6151,SJM,Avg. Volume,"1,261,760 "
6152,SJM,Market Cap (intraday),11.901B 
6153,SJM,Beta (5Y Monthly),0.23
6154,SJM,PE Ratio (TTM),15.72 
6155,SJM,EPS (TTM),7.13 
6156,SJM,Earnings Date,"Aug 27, 2024 - Sep 2, 2024"
6157,SJM,Forward Dividend & Yield,4.24 (3.73%)
6158,SJM,Ex-Dividend Date,"May 16, 2024"
6159,SJM,1y Target Est,127.64 
6160,SNA,Previous Close,268.19 
6161,SNA,Open,267.16 
6162,SNA,Bid,--
6163,SNA,Ask,--
6164,SNA,Day's Range,267.16 - 269.38 
6165,SNA,52 Week Range,249.84 - 298.49 
6166,SNA,Volume,"161,458 "
6167,SNA,Avg. Volume,"306,620 "
6168,SNA,Market Cap (intraday),14.123B 
6169,SNA,Beta (5Y Monthly),0.99
6170,SNA,PE Ratio (TTM),14.05 
6171,SNA,EPS (TTM),19.07 
6172,SNA,Earnings Date,"Jul 18, 2024 - Jul 22, 2024"
6173,SNA,Forward Dividend & Yield,7.44 (2.78%)
6174,SNA,Ex-Dividend Date,"May 17, 2024"
6175,SNA,1y Target Est,293.60 
6176,SOLV,Previous Close,56.71 
6177,SOLV,Open,56.60 
6178,SOLV,Bid,56.32 x 800
6179,SOLV,Ask,56.38 x 1300
6180,SOLV,Day's Range,56.20 - 56.79 
6181,SOLV,52 Week Range,54.47 - 72.40 
6182,SOLV,Volume,"394,374 "
6183,SOLV,Avg. Volume,"2,572,346 "
6184,SOLV,Market Cap (intraday),9.745B 
6185,SOLV,Beta (5Y Monthly),--
6186,SOLV,PE Ratio (TTM),-- 
6187,SOLV,EPS (TTM),-- 
6188,SOLV,Earnings Date,--
6189,SOLV,Forward Dividend & Yield,--
6190,SOLV,Ex-Dividend Date,--
6191,SOLV,1y Target Est,65.75 
6192,SO,Previous Close,77.94 
6193,SO,Open,77.86 
6194,SO,Bid,77.26 x 1200
6195,SO,Ask,79.42 x 900
6196,SO,Day's Range,77.61 - 79.01 
6197,SO,52 Week Range,61.56 - 80.84 
6198,SO,Volume,"5,488,327 "
6199,SO,Avg. Volume,"4,778,504 "
6200,SO,Market Cap (intraday),86.348B 
6201,SO,Beta (5Y Monthly),0.51
6202,SO,PE Ratio (TTM),20.46 
6203,SO,EPS (TTM),3.86 
6204,SO,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
6205,SO,Forward Dividend & Yield,2.88 (3.65%)
6206,SO,Ex-Dividend Date,"May 17, 2024"
6207,SO,1y Target Est,78.27 
6208,LUV,Previous Close,29.70 
6209,LUV,Open,29.50 
6210,LUV,Bid,28.80 x 4000
6211,LUV,Ask,28.79 x 800
6212,LUV,Day's Range,28.61 - 29.60 
6213,LUV,52 Week Range,21.91 - 39.53 
6214,LUV,Volume,"2,787,247 "
6215,LUV,Avg. Volume,"10,347,738 "
6216,LUV,Market Cap (intraday),17.173B 
6217,LUV,Beta (5Y Monthly),1.14
6218,LUV,PE Ratio (TTM),44.84 
6219,LUV,EPS (TTM),0.64 
6220,LUV,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
6221,LUV,Forward Dividend & Yield,0.72 (2.42%)
6222,LUV,Ex-Dividend Date,"Jun 18, 2024"
6223,LUV,1y Target Est,28.02 
6224,SWK,Previous Close,84.42 
6225,SWK,Open,84.02 
6226,SWK,Bid,--
6227,SWK,Ask,--
6228,SWK,Day's Range,83.35 - 84.23 
6229,SWK,52 Week Range,76.26 - 104.21 
6230,SWK,Volume,"147,744 "
6231,SWK,Avg. Volume,"1,490,536 "
6232,SWK,Market Cap (intraday),12.903B 
6233,SWK,Beta (5Y Monthly),1.29
6234,SWK,PE Ratio (TTM),-- 
6235,SWK,EPS (TTM),-0.49 
6236,SWK,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
6237,SWK,Forward Dividend & Yield,3.24 (3.84%)
6238,SWK,Ex-Dividend Date,"Jun 4, 2024"
6239,SWK,1y Target Est,93.60 
6240,SBUX,Previous Close,81.43 
6241,SBUX,Open,81.49 
6242,SBUX,Bid,81.60 x 200
6243,SBUX,Ask,81.64 x 200
6244,SBUX,Day's Range,80.84 - 81.85 
6245,SBUX,52 Week Range,71.80 - 107.66 
6246,SBUX,Volume,"8,531,748 "
6247,SBUX,Avg. Volume,"11,451,658 "
6248,SBUX,Market Cap (intraday),92.428B 
6249,SBUX,Beta (5Y Monthly),0.96
6250,SBUX,PE Ratio (TTM),22.48 
6251,SBUX,EPS (TTM),3.63 
6252,SBUX,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
6253,SBUX,Forward Dividend & Yield,2.28 (2.79%)
6254,SBUX,Ex-Dividend Date,"May 16, 2024"
6255,SBUX,1y Target Est,88.98 
6256,STT,Previous Close,74.50 
6257,STT,Open,74.00 
6258,STT,Bid,75.02 x 800
6259,STT,Ask,75.03 x 800
6260,STT,Day's Range,74.00 - 75.52 
6261,STT,52 Week Range,62.78 - 79.90 
6262,STT,Volume,"2,186,123 "
6263,STT,Avg. Volume,"2,337,034 "
6264,STT,Market Cap (intraday),22.522B 
6265,STT,Beta (5Y Monthly),1.50
6266,STT,PE Ratio (TTM),13.77 
6267,STT,EPS (TTM),5.43 
6268,STT,Earnings Date,"Jul 16, 2024"
6269,STT,Forward Dividend & Yield,2.76 (3.69%)
6270,STT,Ex-Dividend Date,"Jul 1, 2024"
6271,STT,1y Target Est,88.15 
6272,STLD,Previous Close,125.52 
6273,STLD,Open,125.01 
6274,STLD,Bid,123.63 x 200
6275,STLD,Ask,123.76 x 500
6276,STLD,Day's Range,122.36 - 125.14 
6277,STLD,52 Week Range,95.53 - 151.34 
6278,STLD,Volume,"1,518,078 "
6279,STLD,Avg. Volume,"1,136,547 "
6280,STLD,Market Cap (intraday),19.433B 
6281,STLD,Beta (5Y Monthly),1.41
6282,STLD,PE Ratio (TTM),8.46 
6283,STLD,EPS (TTM),14.61 
6284,STLD,Earnings Date,"Jul 17, 2024 - Jul 22, 2024"
6285,STLD,Forward Dividend & Yield,1.84 (1.49%)
6286,STLD,Ex-Dividend Date,"Jun 28, 2024"
6287,STLD,1y Target Est,137.38 
6288,SYK,Previous Close,349.33 
6289,SYK,Open,348.09 
6290,SYK,Bid,340.00 x 900
6291,SYK,Ask,354.00 x 1000
6292,SYK,Day's Range,344.76 - 348.67 
6293,SYK,52 Week Range,249.98 - 361.41 
6294,SYK,Volume,"898,299 "
6295,SYK,Avg. Volume,"1,314,666 "
6296,SYK,Market Cap (intraday),132.635B 
6297,SYK,Beta (5Y Monthly),0.93
6298,SYK,PE Ratio (TTM),39.70 
6299,SYK,EPS (TTM),8.77 
6300,SYK,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
6301,SYK,Forward Dividend & Yield,3.20 (0.92%)
6302,SYK,Ex-Dividend Date,"Jun 28, 2024"
6303,SYK,1y Target Est,379.61 
6304,SMCI,Previous Close,786.86 
6305,SMCI,Open,780.00 
6306,SMCI,Bid,777.17 x 100
6307,SMCI,Ask,829.06 x 200
6308,SMCI,Day's Range,763.17 - 784.71 
6309,SMCI,52 Week Range,"213.08 - 1,229.00 "
6310,SMCI,Volume,"1,183,312 "
6311,SMCI,Avg. Volume,"6,370,258 "
6312,SMCI,Market Cap (intraday),45.613B 
6313,SMCI,Beta (5Y Monthly),1.23
6314,SMCI,PE Ratio (TTM),43.42 
6315,SMCI,EPS (TTM),17.94 
6316,SMCI,Earnings Date,"Aug 6, 2024 - Aug 12, 2024"
6317,SMCI,Forward Dividend & Yield,--
6318,SMCI,Ex-Dividend Date,--
6319,SMCI,1y Target Est,"1,023.42 "
6320,SYF,Previous Close,44.34 
6321,SYF,Open,43.81 
6322,SYF,Bid,43.22 x 1100
6323,SYF,Ask,43.26 x 900
6324,SYF,Day's Range,42.96 - 44.06 
6325,SYF,52 Week Range,27.30 - 46.72 
6326,SYF,Volume,"1,076,505 "
6327,SYF,Avg. Volume,"4,173,277 "
6328,SYF,Market Cap (intraday),17.395B 
6329,SYF,Beta (5Y Monthly),1.60
6330,SYF,PE Ratio (TTM),6.21 
6331,SYF,EPS (TTM),6.98 
6332,SYF,Earnings Date,"Jul 16, 2024 - Jul 22, 2024"
6333,SYF,Forward Dividend & Yield,1.00 (2.26%)
6334,SYF,Ex-Dividend Date,"May 3, 2024"
6335,SYF,1y Target Est,48.67 
6336,SNPS,Previous Close,576.18 
6337,SNPS,Open,573.68 
6338,SNPS,Bid,526.36 x 200
6339,SNPS,Ask,578.95 x 100
6340,SNPS,Day's Range,569.69 - 578.51 
6341,SNPS,52 Week Range,416.87 - 629.38 
6342,SNPS,Volume,"117,088 "
6343,SNPS,Avg. Volume,"931,006 "
